title,published_date,link
#186 100 Days of Python in a Magical Universe,"Fri, 16 Nov 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/186/100-days-of-python-in-a-magical-universe
#185 Creating a Python 3 Culture at Facebook,"Fri, 09 Nov 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/185/creating-a-python-3-culture-at-facebook
#184 Teaching Python with BBC micro:bit,"Fri, 02 Nov 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/184/teaching-python-with-bbc-micro-bit
#183 Qt for Python,"Wed, 24 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/183/qt-for-python
#182 Picture Python at Shutterfly,"Wed, 17 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/182/picture-python-at-shutterfly
#181 30 amazing Python projects,"Fri, 12 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/181/30-amazing-python-projects
#180 What's new in Python 3.7 and beyond,"Tue, 02 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/180/whats-new-in-python-3.7-and-beyond
#179 Python Language Summit 2018,"Wed, 26 Sep 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/179/python-language-summit-2018
#178 Coverage.py,"Fri, 21 Sep 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/178/coverage.py
#177 Flask goes 1.0,"Sat, 15 Sep 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/177/flask-goes-1.0
#176 The Python Community by the Numbers,"Mon, 10 Sep 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/176/the-python-community-by-the-numbers
#175 Teaching Python to network engineers,"Fri, 31 Aug 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/175/teaching-python-to-network-engineers
#174 Coming into Python from another Industry (part 2),"Thu, 16 Aug 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/174/coming-into-python-from-another-industry-part-2
#173 Coming into Python from another Industry (part 1),"Tue, 07 Aug 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/173/coming-into-python-from-another-industry-part-1
#172 Nuitka: A full Python compiler,"Wed, 01 Aug 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/172/nuitka-a-full-python-compiler
#171 1M Jupyter notebooks analyzed,"Sun, 29 Jul 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/171/1m-jupyter-notebooks-analyzed
#170 Guido van Rossum steps down,"Fri, 20 Jul 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/170/guido-van-rossum-steps-down
#169 Becoming a Python content creator,"Fri, 13 Jul 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/169/becoming-a-python-content-creator
#168 10 Python security holes and how to plug them,"Fri, 06 Jul 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/168/10-python-security-holes-and-how-to-plug-them
#167 Simplifying Python's Async with Trio,"Fri, 29 Jun 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/167/simplifying-pythons-async-with-trio
